,traj_func,roi_variation,subject_variation,followup_interval,data_aug
0,exp,init_shift,0,0,False
1,exp,init_shift,0,2,False
2,exp,init_shift,0,2,True
3,exp,init_shift,0,10,False
4,exp,init_shift,0,10,True
5,exp,init_shift,0.5,0,False
6,exp,init_shift,0.5,2,False
7,exp,init_shift,0.5,2,True
8,exp,init_shift,0.5,10,False
9,exp,init_shift,0.5,10,True
10,exp,init_shift,1,0,False
11,exp,init_shift,1,2,False
12,exp,init_shift,1,2,True
13,exp,init_shift,1,10,False
14,exp,init_shift,1,10,True
15,exp,time_shift,0,0,False
16,exp,time_shift,0,2,False
17,exp,time_shift,0,2,True
18,exp,time_shift,0,10,False
19,exp,time_shift,0,10,True
20,exp,time_shift,0.5,0,False
21,exp,time_shift,0.5,2,False
22,exp,time_shift,0.5,2,True
23,exp,time_shift,0.5,10,False
24,exp,time_shift,0.5,10,True
25,exp,time_shift,1,0,False
26,exp,time_shift,1,2,False
27,exp,time_shift,1,2,True
28,exp,time_shift,1,10,False
29,exp,time_shift,1,10,True
30,poly,init_shift,0,0,False
31,poly,init_shift,0,2,False
32,poly,init_shift,0,2,True
33,poly,init_shift,0,10,False
34,poly,init_shift,0,10,True
35,poly,init_shift,0.5,0,False
36,poly,init_shift,0.5,2,False
37,poly,init_shift,0.5,2,True
38,poly,init_shift,0.5,10,False
39,poly,init_shift,0.5,10,True
40,poly,init_shift,1,0,False
41,poly,init_shift,1,2,False
42,poly,init_shift,1,2,True
43,poly,init_shift,1,10,False
44,poly,init_shift,1,10,True
45,poly,time_shift,0,0,False
46,poly,time_shift,0,2,False
47,poly,time_shift,0,2,True
48,poly,time_shift,0,10,False
49,poly,time_shift,0,10,True
50,poly,time_shift,0.5,0,False
51,poly,time_shift,0.5,2,False
52,poly,time_shift,0.5,2,True
53,poly,time_shift,0.5,10,False
54,poly,time_shift,0.5,10,True
55,poly,time_shift,1,0,False
56,poly,time_shift,1,2,False
57,poly,time_shift,1,2,True
58,poly,time_shift,1,10,False
59,poly,time_shift,1,10,True
